drug_name,display_name,aliases,drug_class,used_for,clinical_summary,symptom_name,onset_days_min,onset_days_max,source,frequency
warfarin,Warfarin,coumadin,Anticoagulant,Blood clot prevention,"Narrow therapeutic index anticoagulant requiring regular INR monitoring; bleeding risk rises sharply with drug interactions common in elderly polypharmacy.",bruising,3,14,FAERS,common
warfarin,Warfarin,coumadin,Anticoagulant,Blood clot prevention,"Narrow therapeutic index anticoagulant requiring regular INR monitoring; bleeding risk rises sharply with drug interactions common in elderly polypharmacy.",bleeding gums,3,30,FAERS,common
warfarin,Warfarin,coumadin,Anticoagulant,Blood clot prevention,"Narrow therapeutic index anticoagulant requiring regular INR monitoring; bleeding risk rises sharply with drug interactions common in elderly polypharmacy.",nosebleeds,3,30,FAERS,uncommon
metoprolol,Metoprolol,lopressor;toprol,Beta blocker,Hypertension and heart rate control,"Cardioselective beta blocker; fatigue and low mood are frequently misattributed to depression or aging rather than the medication itself.",fatigue,7,30,FAERS,common
metoprolol,Metoprolol,lopressor;toprol,Beta blocker,Hypertension and heart rate control,"Cardioselective beta blocker; fatigue and low mood are frequently misattributed to depression or aging rather than the medication itself.",low mood,14,60,PubMed,uncommon
metoprolol,Metoprolol,lopressor;toprol,Beta blocker,Hypertension and heart rate control,"Cardioselective beta blocker; fatigue and low mood are frequently misattributed to depression or aging rather than the medication itself.",dizziness,1,14,FAERS,common
omeprazole,Omeprazole,prilosec,Proton pump inhibitor,Acid reflux and ulcers,"Long-term PPI use is associated with reduced magnesium and B12 absorption, sometimes misdiagnosed as unrelated deficiency conditions in elderly patients.",headache,1,14,FAERS,common
omeprazole,Omeprazole,prilosec,Proton pump inhibitor,Acid reflux and ulcers,"Long-term PPI use is associated with reduced magnesium and B12 absorption, sometimes misdiagnosed as unrelated deficiency conditions in elderly patients.",low magnesium,180,730,PubMed,rare
prednisone,Prednisone,deltasone,Corticosteroid,Inflammation and autoimmune conditions,"Systemic corticosteroid with well-known metabolic effects; new-onset high blood sugar in a non-diabetic elderly patient is a classic cascade trigger for an unnecessary diabetes workup.",elevated blood sugar,3,21,FAERS,common
prednisone,Prednisone,deltasone,Corticosteroid,Inflammation and autoimmune conditions,"Systemic corticosteroid with well-known metabolic effects; new-onset high blood sugar in a non-diabetic elderly patient is a classic cascade trigger for an unnecessary diabetes workup.",insomnia,1,14,FAERS,common
prednisone,Prednisone,deltasone,Corticosteroid,Inflammation and autoimmune conditions,"Systemic corticosteroid with well-known metabolic effects; new-onset high blood sugar in a non-diabetic elderly patient is a classic cascade trigger for an unnecessary diabetes workup.",mood changes,3,30,PubMed,uncommon
sertraline,Sertraline,zoloft,SSRI,Depression and anxiety,"Commonly prescribed SSRI; GI upset at initiation is often mistaken for an unrelated stomach issue rather than a medication adjustment period.",nausea,1,14,FAERS,common
sertraline,Sertraline,zoloft,SSRI,Depression and anxiety,"Commonly prescribed SSRI; GI upset at initiation is often mistaken for an unrelated stomach issue rather than a medication adjustment period.",insomnia,1,21,FAERS,common
levothyroxine,Levothyroxine,synthroid,Thyroid hormone,Hypothyroidism,"Synthetic thyroid hormone; over-replacement can cause symptoms resembling anxiety or hyperthyroidism, sometimes prompting unnecessary anxiolytic prescriptions in elderly patients.",palpitations,7,60,FAERS,uncommon
levothyroxine,Levothyroxine,synthroid,Thyroid hormone,Hypothyroidism,"Synthetic thyroid hormone; over-replacement can cause symptoms resembling anxiety or hyperthyroidism, sometimes prompting unnecessary anxiolytic prescriptions in elderly patients.",anxiety,14,90,PubMed,uncommon
